IndividualID	Gender	Population
NA20778	1	TSI
NA20783	1	TSI
NA20785	1	TSI
NA20786	2	TSI
NA20787	1	TSI
NA20790	2	TSI
NA20792	1	TSI
NA20795	2	TSI
NA20796	1	TSI
NA20797	2	TSI
NA20798	1	TSI
NA20799	2	TSI
NA20800	2	TSI
NA20801	1	TSI
NA20802	2	TSI
NA20803	1	TSI
NA20804	2	TSI
NA20805	1	TSI
NA20806	1	TSI
NA20807	2	TSI
NA20808	2	TSI
NA20809	1	TSI
NA20810	1	TSI
NA20811	1	TSI
NA20812	1	TSI
NA20813	2	TSI
NA20814	1	TSI
NA20815	1	TSI
NA20816	1	TSI
NA20818	2	TSI
NA20819	2	TSI
NA20826	2	TSI
NA20828	2	TSI
