IndividualID	Gender	Population
HG03514	2	ESN
HG03515	1	ESN
HG03516	2	ESN
HG03517	2	ESN
HG03518	1	ESN
HG03519	1	ESN
HG03520	2	ESN
HG03521	1	ESN
HG03522	2	ESN
HG02938	1	ESN
HG02939	1	ESN
HG02941	1	ESN
HG02942	1	ESN
HG02943	2	ESN
HG02944	1	ESN
HG02945	2	ESN
HG02946	2	ESN
HG02947	1	ESN
HG02948	1	ESN
HG02952	2	ESN
HG02953	1	ESN
HG02954	1	ESN
HG02964	2	ESN
HG02965	1	ESN
HG02966	1	ESN
HG02968	1	ESN
HG02969	2	ESN
HG02970	2	ESN
HG02971	1	ESN
HG02972	1	ESN
HG02973	1	ESN
HG02974	2	ESN
HG02975	1	ESN
HG02976	2	ESN
HG02977	1	ESN
HG02978	2	ESN
HG02979	2	ESN
HG02980	1	ESN
HG02981	1	ESN
HG03099	2	ESN
HG03100	1	ESN
HG03101	1	ESN
HG03103	1	ESN
HG03104	2	ESN
HG03105	2	ESN
HG03107	2	ESN
HG03108	2	ESN
HG03109	1	ESN
HG03110	2	ESN
HG03111	2	ESN
HG03112	1	ESN
HG03113	2	ESN
HG03114	2	ESN
HG03115	1	ESN
HG03116	2	ESN
HG03117	2	ESN
HG03118	1	ESN
HG03119	2	ESN
HG03120	1	ESN
HG03121	2	ESN
HG03122	1	ESN
HG03123	2	ESN
HG03124	1	ESN
HG03125	2	ESN
HG03126	2	ESN
HG03127	1	ESN
HG03128	1	ESN
HG03129	2	ESN
HG03130	1	ESN
HG03131	1	ESN
HG03132	2	ESN
HG03133	1	ESN
HG03134	1	ESN
HG03135	2	ESN
HG03136	1	ESN
HG03137	1	ESN
HG03139	1	ESN
HG03140	2	ESN
HG03157	1	ESN
HG03158	2	ESN
HG03159	2	ESN
HG03160	1	ESN
HG03161	1	ESN
HG03162	2	ESN
HG03163	1	ESN
HG03164	2	ESN
HG03166	1	ESN
HG03167	1	ESN
HG03168	2	ESN
HG03169	1	ESN
HG03170	1	ESN
HG03172	1	ESN
HG03173	1	ESN
HG03175	1	ESN
HG03176	1	ESN
HG03189	2	ESN
HG03190	1	ESN
HG03191	1	ESN
HG03193	1	ESN
HG03194	1	ESN
HG03195	2	ESN
HG03196	1	ESN
HG03197	1	ESN
HG03198	2	ESN
HG03199	1	ESN
HG03200	2	ESN
HG03202	1	ESN
HG03203	2	ESN
HG03265	1	ESN
HG03266	2	ESN
HG03267	2	ESN
HG03268	1	ESN
HG03269	1	ESN
HG03270	2	ESN
HG03271	1	ESN
HG03272	2	ESN
HG03279	2	ESN
HG03280	1	ESN
HG03291	2	ESN
HG03293	1	ESN
HG03294	2	ESN
HG03295	1	ESN
HG03296	1	ESN
HG03297	2	ESN
HG03298	1	ESN
HG03299	1	ESN
HG03300	2	ESN
HG03301	1	ESN
HG03302	1	ESN
HG03303	2	ESN
HG03304	1	ESN
HG03305	2	ESN
HG03306	2	ESN
HG03307	1	ESN
HG03308	1	ESN
HG03309	2	ESN
HG03310	2	ESN
HG03311	1	ESN
HG03312	2	ESN
HG03313	1	ESN
HG03314	1	ESN
HG03339	2	ESN
HG03341	2	ESN
HG03342	2	ESN
HG03343	1	ESN
HG03344	1	ESN
HG03350	1	ESN
HG03351	2	ESN
HG03352	1	ESN
HG03354	2	ESN
HG03361	1	ESN
HG03362	1	ESN
HG03363	2	ESN
HG03365	1	ESN
HG03366	2	ESN
HG03367	1	ESN
